datetime,matte_west,Power
4/24/2023 13:05,1151.994629,8.282650948
4/24/2023 13:05,1017.996216,8.202080727
4/24/2023 13:05,1029.993774,8.024482727
4/24/2023 13:06,1015.999817,7.219975471
4/24/2023 13:06,1276.996216,7.143485546
4/24/2023 13:06,1109.99707,7.077997684
4/24/2023 13:06,1018.994019,7.055377483
4/24/2023 13:06,1174.990234,6.99285984
4/24/2023 13:07,1163.00354,6.85687542
4/24/2023 13:07,1005.997192,6.809467316
4/24/2023 13:07,1167.980835,6.709193707
4/24/2023 13:07,1154.065918,6.471613407
4/24/2023 13:08,1003.857117,6.355387688
4/24/2023 13:08,1003.009949,6.306800365
4/24/2023 13:08,1163.992554,6.422427177
4/24/2023 13:08,1027.956543,6.477551937
4/24/2023 13:08,1030.992798,6.372667313
4/24/2023 13:08,1025.989136,6.39052248
4/24/2023 13:09,1065.977661,6.360302448
4/24/2023 13:09,1190.963135,6.765174389
4/24/2023 13:09,1143.009521,7.144678116
4/24/2023 13:09,1047.996582,6.930702209
4/24/2023 13:09,1028.958008,6.758770943
4/24/2023 13:09,1247.966797,6.622092724
4/24/2023 13:10,1173.997314,6.563270569
4/24/2023 13:10,1163.997437,6.313184261
4/24/2023 13:10,1007.996399,6.44307375
4/24/2023 13:10,1245.983887,6.934670925
4/24/2023 21:10,1010.998779,7.229912758
4/25/2023 5:10,1144.999512,7.704271793
4/25/2023 13:10,1004.997009,0
4/25/2023 21:10,1033.982544,8.381788254
4/26/2023 5:10,1149.995239,8.148715019
4/26/2023 13:10,1017.994324,8.538229942
4/26/2023 21:10,1033.96228,7.041398525
4/27/2023 5:10,1000.99939,7.570884705
4/27/2023 13:10,1008.998474,6.133427143
4/27/2023 14:50,1055.903198,0
4/27/2023 14:53,1021.997681,0
4/27/2023 14:53,1234,0
4/27/2023 14:53,1061.957642,0
4/27/2023 14:53,1432.95813,0
4/27/2023 14:53,1009.987915,0
4/27/2023 14:54,1152.977539,0
4/27/2023 14:54,1012.995789,0
4/27/2023 22:54,1279.986572,7.570930004
4/28/2023 6:54,1234.493164,8.482707977
4/28/2023 10:24,1229.841919,8.012237549
4/28/2023 10:34,1295.916016,7.940321922
4/28/2023 10:36,1305.993652,8.129431725
4/28/2023 10:41,1103.139648,8.772561073
4/28/2023 10:43,1212.763428,8.815585136
4/28/2023 11:53,1034.992798,8.8898592
4/28/2023 11:59,1169.98291,8.612973213
4/28/2023 12:00,1017.972839,8.626900673
4/28/2023 12:01,1042.960938,8.252802849
4/28/2023 12:01,1028.994751,8.291349411
4/28/2023 12:01,1211.981079,8.405471802
4/28/2023 12:02,1138.99585,8.496944427
4/28/2023 12:02,1019.993713,8.486668587
4/28/2023 12:07,1314.988525,8.948966026
4/28/2023 12:08,1247.831665,8.859562874
4/28/2023 12:08,1035.999146,8.86380291
4/28/2023 12:08,1267.782715,8.694664955
